Počet vstupních dat: 78400
Počet vstupních trénovacích dat: 78400
Počet vstupních predikovanýc dat: 1932

Atributy:
Date_time - standardized date and time of sighting
city - location of UFO sighting
state/province - the US state or Canadian province, appears blank for other locations
country - Country of UFO sighting
UFO_shape - a one word description of the "spacecraft"
length_of_encounter_seconds - standardized to seconds, length of the observation of the UFO
described_duration _of_encounter - raw description of the length of the encounter(shows uncertainty to previous column)
description - text description of the UFO encounter.Warning column is messy, with some curation it could lend itself to some natural language processing and await sw.WriteLineAsync analysis.
date_documented - when was the UFO sighting reported
latitude - latitude
longitude - longitude

Klasifikace pomoci Naive-Bayes (UFO_shape -> length_of_encounter_seconds + hour)
;class='cylinder';class='light';class='circle';class='sphere';class='disk';class='fireball';class='unknown';class='oval';class='other';class='cigar';class='rectangle';class='chevron';class='triangle';class='formation';class='delta';class='changing';class='egg';class='diamond';class='flash';class='teardrop';class='cone';class='cross';class='pyramid';class='round';class='crescent';class='flare';class='hexagon';class='dome';class='changed'
length_of_encounter_seconds='2700';0,01;0,02;0,02;0,01;0,01;0,00;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,01;0,01;0,00;0,02;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='7200';0,01;0,02;0,02;0,01;0,01;0,00;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0;0,03;0,01;0,02;0,01;0,01;0,02;0,02;0;0;0;0;0;0;0
length_of_encounter_seconds='20';0,03;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,04;0,03;0,03;0;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0;0;0;0;0;0;0
length_of_encounter_seconds='900';0,05;0,05;0,05;0,05;0,06;0,04;0,05;0,06;0,05;0,05;0,05;0,04;0,05;0,05;0,14;0,06;0,04;0,06;0,05;0,05;0,04;0,03;0;0,50;0;0;0;0;0
length_of_encounter_seconds='300';0,13;0,10;0,11;0,11;0,11;0,10;0,10;0,11;0,10;0,12;0,12;0,07;0,12;0,11;0,14;0,12;0,10;0,11;0,05;0,09;0,11;0,14;0;0;0;0;0;0;0
length_of_encounter_seconds='180';0,08;0,06;0,07;0,07;0,07;0,07;0,05;0,07;0,06;0,07;0,08;0,07;0,07;0,06;0;0,05;0,06;0,06;0,04;0,06;0,05;0,09;0;0;0;0;0;0;0
length_of_encounter_seconds='1200';0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,03;0,03;0,03;0,04;0;0,07;0,03;0,04;0,02;0,02;0,03;0,04;0;0;0;0;0;0;0
length_of_encounter_seconds='120';0,09;0,08;0,09;0,09;0,10;0,10;0,09;0,09;0,08;0,10;0,10;0,07;0,10;0,09;0;0,07;0,11;0,10;0,05;0,08;0,09;0,09;1,00;0;0;0;0;0;0
length_of_encounter_seconds='1800';0,02;0,04;0,03;0,03;0,04;0,02;0,04;0,03;0,04;0,03;0,03;0,02;0,03;0,03;0;0,05;0,02;0,04;0,03;0,03;0,05;0,05;0;0;0;0;0;0;0
length_of_encounter_seconds='30';0,05;0,04;0,05;0,05;0,04;0,04;0,05;0,05;0,05;0,06;0,05;0,07;0,05;0,05;0;0,03;0,04;0,05;0,04;0,05;0,05;0,04;0;0;0;1,00;0;0;0
length_of_encounter_seconds='360';0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0;0;0;0;0;0;0
