Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering
1,1,,0,1,1,2,1,1,2,11,0.222205,0.233439,0,0.000065,0.000067,0
5,5,,0,31,32,63,38,39,77,10,0.285658,0.311974,0.019699,0.004156,0.004079,0.07197
2,2,,0,5,4,9,6,5,11,11,0.222256,0.233958,0.000001,0.00007,0.00007,0.55
4,4,,0,5,5,10,6,6,12,11,0.222274,0.234132,0,0.00007,0.000071,0.6
6,6,,0,3,4,7,4,5,9,11,0.222256,0.233958,0.000334,0.000067,0.00007,0.5
5430,5430,,0,4,4,8,4,4,8,11,0.222256,0.233958,0,0.000069,0.00007,0.666667
3,3,,0,5,4,9,7,6,13,11,0.222256,0.233958,0.000001,0.00007,0.00007,0.466667
5431,5431,,0,2,2,4,2,2,4,11,0.222222,0.233612,0,0.000067,0.000068,1
5434,5434,,0,3,3,6,4,5,9,11,0.222239,0.233785,0,0.000068,0.000069,0.833333
5424,5424,,0,3,3,6,3,3,6,11,0.222239,0.233785,0,0.000068,0.000069,1
5435,5435,,0,6,6,12,7,6,13,11,0.222291,0.234305,0.000001,0.000071,0.000072,0.4
2279,2279,,30,84,87,171,167,170,337,9,0.367363,0.408509,0.030963,0.064973,0.06731,0.25209
2397,2397,,30,74,76,150,157,159,316,9,0.334144,0.371412,0.024807,0.024953,0.026877,0.130351
3077,3077,,30,111,112,223,232,232,464,9,0.363889,0.409277,0.023356,0.065821,0.066018,0.225949
3316,3316,,30,112,113,225,245,246,491,9,0.360255,0.406425,0.03223,0.059928,0.060367,0.169169
3320,3320,,30,51,50,101,86,87,173,10,0.322999,0.354347,0.03152,0.012101,0.012058,0.170196
3322,3322,,30,22,23,45,33,32,65,10,0.282858,0.306349,0.00634,0.004168,0.004178,0.208333
3361,3361,,30,77,77,154,143,142,285,9,0.334376,0.369853,0.028702,0.020283,0.020247,0.12218
4074,4074,,0,22,25,47,24,26,50,11,0.246603,0.265141,0.014312,0.000357,0.00036,0.041667
5419,5419,,0,2,2,4,2,2,4,11,0.222222,0.233612,0,0.000067,0.000068,1
5420,5420,,0,1,1,2,1,1,2,11,0.222205,0.233439,0,0.000065,0.000067,0
5421,5421,,0,4,3,7,4,3,7,11,0.222256,0.233843,0.000669,0.000068,0.000068,0.333333
5422,5422,,0,2,2,4,3,3,6,11,0.222239,0.23367,0.000669,0.000065,0.000067,0
5423,5423,,0,2,2,4,3,3,6,11,0.222222,0.233612,0.000334,0.000065,0.000068,0.5
5425,5425,,0,3,4,7,4,4,8,11,0.222274,0.234016,0,0.000068,0.00007,0.666667
5427,5427,,0,1,2,3,1,2,3,11,0.222239,0.23367,0,0.000065,0.000068,1
5428,5428,,0,3,3,6,3,3,6,11,0.222239,0.233785,0,0.000068,0.000069,0.666667
5429,5429,,0,1,1,2,1,1,2,11,0.222205,0.233439,0,0.000065,0.000067,0
5433,5433,,0,1,1,2,1,1,2,11,0.222205,0.233439,0,0.000065,0.000067,0
